
#include "DigiKeyboard.h"

void setup() {}

void loop() {
	DigiKeyboard.sendKeyStroke(0);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(0, MOD_GUI_LEFT,KEY_R);
	DigiKeyboard.delay(500);
	DigiKeyboard.print("chrome");
	DigiKeyboard.sendKeyStroke(KEY_ENTER);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(43);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(43);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(43);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(43);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(43);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(43);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(43);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(43);
	DigiKeyboard.print("http://www.vetrisample.com");
	DigiKeyboard.sendKeyStroke(KEY_ENTER);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(43);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(43);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(43);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(43);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(KEY_ENTER);
	DigiKeyboard.delay(500);
	DigiKeyboard.sendKeyStroke(KEY_ENTER);
	DigiKeyboard.sendKeyStroke(MOD_CONTROL_LEFT,KEY_W);
}
